"","site","site_name","flow_age_my","specimen_code","collection_code","tree","tray","date_collected","class","order","family","species_code","genus","species","trophic","origin","stage","lengthmm","abundance","ind_biom"
"106","KA","Alakaʻi",4.1,"1239-005","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Bethylidae","sierspuB","Sierola","sp_B","P","endemic","adult",2,1,0.0725
"107","KA","Alakaʻi",4.1,"1239-006","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Bethylidae","sierspuB","Sierola","sp_B","P","endemic","adult",2,1,0.0725
"108","KA","Alakaʻi",4.1,"1239-007","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","P","endemic","adult",3,1,0.1905
"109","KA","Alakaʻi",4.1,"1240-001","KA9702-1",2,1,"10/29/97","Insecta","Thysanoptera","Thripidae","helihaem","Heliothrips","haemorrhoidalis","H","adventive","adult",1,1,0.0056
"110","KA","Alakaʻi",4.1,"1241-001","KA9702-2",2,2,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",1,1,0.0206
"111","KA","Alakaʻi",4.1,"1241-002","KA9702-2",2,2,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",2,1,0.1399
"112","KA","Alakaʻi",4.1,"1241-002","KA9702-2",2,2,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",2,1,0.1399
"113","KA","Alakaʻi",4.1,"1242-001","KA9702-2",2,2,"10/29/97","Insecta","Diptera","Sciaridae","sciaprom","Sciara","prominens","D","endemic","adult",2,1,0.091
"114","KA","Alakaʻi",4.1,"1242-002","KA9702-2",2,2,"10/29/97","Insecta","Diptera","Ceratopogonidae","dasyhawa","Dasyhelea","hawaiiensis","D","endemic","adult",1,1,0.0153
"115","KA","Alakaʻi",4.1,"1243-001","KA9702-2",2,2,"10/29/97","Insecta","Heteroptera","Nabidae","nabimora","Nabis","morai","P","endemic","immature",2,1,0.0495
"116","KA","Alakaʻi",4.1,"1243-002","KA9702-2",2,2,"10/29/97","Insecta","Homoptera","Cicadellidae","nesoska1","Nesophrosyne","sp_KA1","H","endemic","adult",2,1,0.0594
"117","KA","Alakaʻi",4.1,"1244-001","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Staphylinidae","oligspu2","Oligota","sp_2","P","endemic","adult",1,1,0.0708
"118","KA","Alakaʻi",4.1,"1244-002","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Staphylinidae","oligspu2","Oligota","sp_2","P","endemic","adult",1,1,0.0708
"119","KA","Alakaʻi",4.1,"1244-003","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"120","KA","Alakaʻi",4.1,"1244-004","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"121","KA","Alakaʻi",4.1,"1244-005","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"122","KA","Alakaʻi",4.1,"1244-006","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"123","KA","Alakaʻi",4.1,"1244-007","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"124","KA","Alakaʻi",4.1,"1244-008","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","ciscali","Cis","calidus","D","endemic","adult",NA,1,0.0947
"125","KA","Alakaʻi",4.1,"1244-009","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Ciidae","cissign","Cis","signatus","D","endemic","adult",NA,1,0.173
"126","KA","Alakaʻi",4.1,"1244-010","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"127","KA","Alakaʻi",4.1,"1244-011","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"128","KA","Alakaʻi",4.1,"1244-012","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"129","KA","Alakaʻi",4.1,"1244-013","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu26","Proterhinus","sp_26","D","endemic","adult",NA,1,0.53
"130","KA","Alakaʻi",4.1,"1244-014","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"131","KA","Alakaʻi",4.1,"1244-015","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"132","KA","Alakaʻi",4.1,"1244-016","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"133","KA","Alakaʻi",4.1,"1244-017","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"134","KA","Alakaʻi",4.1,"1244-018","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu19","Proterhinus","sp_19","D","endemic","adult",NA,1,0.274
"135","KA","Alakaʻi",4.1,"1244-019","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"136","KA","Alakaʻi",4.1,"1244-020","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"137","KA","Alakaʻi",4.1,"1244-021","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"138","KA","Alakaʻi",4.1,"1244-022","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"139","KA","Alakaʻi",4.1,"1244-023","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"140","KA","Alakaʻi",4.1,"1244-024","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"141","KA","Alakaʻi",4.1,"1244-025","KA9702-2",2,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"142","KA","Alakaʻi",4.1,"1245-001","KA9702-2",2,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"143","KA","Alakaʻi",4.1,"1245-001","KA9702-2",2,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"144","KA","Alakaʻi",4.1,"1245-001","KA9702-2",2,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
