"site","site_name","island","flow_age_my","island_age_my","npp","foliar_N","foliar_P","tree","date_collected","class","order","family","species_code","genus","species","trophic","origin","stage","individual_biomass_g"
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.0206
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.0206
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.4289
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Arachnida","Araneae","Araneidae","cyclspu2","Cyclosa","sp_2","predator","native-endemic","immature",0.0433
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrmaka","Tetragnatha","maka","predator","native-endemic","immature",0.0433
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrmaka","Tetragnatha","maka","predator","native-endemic","immature",0.0433
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Lepidoptera","Geometridae","scotjs15","Scotorythra","larval sp_15","herbivore","native-endemic","immature",1.2985
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Homoptera","Triozidae","kuwaspu7","Kuwayama","sp_7","herbivore","native-endemic","immature",0.0234
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Blattodea","Blattellidae","baltsimi","Balta","similis","detritivore","non-native","immature",1.3938
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Staphylinidae","oligspu2","Oligota","sp_2","predator","native-endemic","adult",0.0708
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu29","Proterhinus","sp_29","detritivore","native-endemic","adult",0.236
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Nitidulidae","nesoflor","Nesopeplus","floricola","detritivore","native-endemic","adult",0.2918
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Heteroptera","Nabidae","nabimora","Nabis","morai","predator","native-endemic","immature",1.0147
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Hymenoptera","Ichneumonidae","spolcitr","Spolas","citricincta","predator","native-endemic","adult",0.6436
